Prénom,Date,Emissions_CO2 (g),Type_Activité
Adnan-Erdem,2024-09-01,10.08,type4
Adnan-Erdem,2024-09-02,5.04,type4
Adnan-Erdem,2024-09-03,8.82,type4
Adnan-Erdem,2024-09-04,8.82,type4
Adnan-Erdem,2024-09-05,8.19,type4
Adnan-Erdem,2024-09-06,7.56,type4
Adnan-Erdem,2024-09-07,11.34,type4
Adnan-Erdem,2024-09-08,11.97,type4
Adnan-Erdem,2024-09-09,6.93,type4
Adnan-Erdem,2024-09-10,17.64,type4
Adnan-Erdem,2024-09-11,9.45,type4
Adnan-Erdem,2024-09-12,2.52,type4
Adnan-Erdem,2024-09-13,9.45,type4
Adnan-Erdem,2024-09-14,3.15,type4
Adnan-Erdem,2024-09-15,15.12,type4
Adnan-Erdem,2024-09-16,11.34,type4
Adnan-Erdem,2024-09-17,3.78,type4
Adnan-Erdem,2024-09-18,7.56,type4
Adnan-Erdem,2024-09-19,6.93,type4
Adnan-Erdem,2024-09-20,4.41,type4
Adnan-Erdem,2024-09-21,6.93,type4
Adnan-Erdem,2024-09-22,3.78,type4
Adnan-Erdem,2024-09-23,5.67,type4
Adnan-Erdem,2024-09-24,8.82,type4
Adnan-Erdem,2024-09-25,11.34,type4
Adnan-Erdem,2024-09-26,5.04,type4
Adnan-Erdem,2024-09-27,15.12,type4
Adnan-Erdem,2024-09-28,10.08,type4
Adnan-Erdem,2024-09-29,10.08,type4
Adnan-Erdem,2024-09-30,6.93,type4
Alexis,2024-09-01,6.93,type4
Alexis,2024-09-02,10.08,type4
Alexis,2024-09-03,1.26,type4
Alexis,2024-09-04,12.6,type4
Alexis,2024-09-05,13.86,type4
Alexis,2024-09-06,13.23,type4
Alexis,2024-09-07,10.71,type4
Alexis,2024-09-08,6.93,type4
Alexis,2024-09-09,14.49,type4
Alexis,2024-09-10,4.41,type4
Alexis,2024-09-11,8.82,type4
Alexis,2024-09-12,4.41,type4
Alexis,2024-09-13,3.15,type4
Alexis,2024-09-14,20.16,type4
Alexis,2024-09-15,17.01,type4
Alexis,2024-09-16,8.19,type4
Alexis,2024-09-17,8.82,type4
Alexis,2024-09-18,1.89,type4
Alexis,2024-09-19,0.0,type4
Alexis,2024-09-20,8.82,type4
Alexis,2024-09-21,12.6,type4
Alexis,2024-09-22,6.93,type4
Alexis,2024-09-23,5.67,type4
